type,name,desc,all_ingredients,main_ingredients,img_link,cost,weight,cuisine
Основное блюдо,Космическая паста,"Паста, приготовленная с добавлением звездной пыли и солнечного света, создаёт неповторимый вкус, который перенесёт вас в галактические просторы.","Паста, томаты, базилик, оливковое масло, чеснок, соль, перец","Паста, томаты, базилик",,550,315,Нейро кухня
Закуска,Лунные чипсы,"Хрустящие чипсы с морской солью, собранные под светом полнолуния, чтобы добавить немного магии к каждому укусу.","Картофель, растительное масло, морская соль","Картофель, растительное масло",,200,150,Нейро кухня
Десерт,Галактический торт,"Шоколадный торт с нежным кремом, созданный из кусочков комет, который растекается, как космические облака.","Мука, сахар, яйца, какао, сливки, ягоды","Шоколад, сливки",,800,550,Нейро кухня
Суп,Суп из квантового бульона,"Овощной суп, сваренный в квантовом бульоне, наполненный энергией Вселенной и свежестью звездных огурцов.","Морковь, картофель, огурец, лук, зелень, специи, бульон","Морковь, картофель, огурец, бульон",,325,250,Нейро кухня
Закуска,Астральные крекеры,"Крекеры с травами, собранными на межгалактических полях.","Мука, оливковое масло, травы, соль","Мука, травы",,150,100,Нейро кухня
Десерт,Сладость из нейронных клеток,"Пудинг из кокоса с манго, который активирует ваши нейроны и дарит сладкие мечты о других мирах.","Кокосовое молоко, манго, сахар, желатин","Кокос, манго",,270,180,Нейро кухня
Основное блюдо,Энергетическая пицца,"Пицца, заряженная энергией звёзд, с томатным соусом и овощами, которые светятся в темноте.","Тесто, томатный соус, сыр, перец, грибы, оливки","Тесто, томатный соус, сыр, грибы, оливки",,630,370,Нейро кухня
Напитки,Небесный мусс,"Легкий мусс, созданный из сливок и ягод, который растекается на языке, как утренний туман на звёздных полях.","Сливки, ягоды, сахар, желатин","Сливки, ягоды",,290,200,Нейро кухня
Салат,Суперфуд из галактики,"Салат с киноа и черными бобами, в котором каждый ингредиент — это кусочек энергии из далёких миров.","Киноа, черные бобы, авокадо, помидоры, зелень, лимонный сок","Киноа, черные бобы, авокадо, помидоры",,385,300,Нейро кухня
Закуска,Звёздные равиоли,"Равиоли, начинённые смесью сыра и грибов, символизируют маленькие планеты, плавающие в космосе томатного соуса.","Тесто, сыр рикотта, шампиньоны, томатный соус, шпинат, мускатный орех, соль, перец","Тесто, сыр рикотта, шампиньоны, томатный соус",,460,290,Нейро кухня
Основное блюдо,Парящая говядина с облачным грибным покрытием,"Тончайшие срезы говядины, приготовленные молекулярным способом, подаются с воздушным грибным облаком и капелькой трюфельного масла.","Говядина, белые грибы, сливки, желатин, трюфельное масло, соль, перец","Говядина, белые грибы, трюфельное масло",,780,330,Нейро кухня
Напиток,Кодовый коктейль,"Напиток, вдохновленный миром программирования, с яркими цветами и слоями, символизирующими различные языки кодирования.","Апельсиновый сок, гранатовый сироп, кокосовое молоко, голубой пищевой краситель, лед","Апельсиновый сок, гранатовый сироп, кокосовое молоко",,300,300,Нейро кухня
